country,balance
Afghanistan,-0.9
Albania,3.7
Algeria,-0.3
American Samoa,..
Andorra,..
Angola,-0.2
Anguilla,31.7
Antigua And Barbuda,52.8
Argentina,-1.3
Armenia,-1.8
Aruba,55.4
Australia,0.3
Austria,2.5
Azerbaijan,0.8
Bahamas,20.2
Bahrain,-0.5
Bangladesh,-0.3
Barbados,21.6
Belarus,0.1
Belgium,-1.9
Belize,22.7
Benin,0.1
Bermuda,3.8
Bhutan,1.7
"Bolivia, Plurinational State Of",-0.3
Bonaire,..
Bosnia And Herzegovina,3.6
Botswana,1.7
Brazil,-0.9
British Virgin Islands,..
Brunei Darussalam,-2.9
Bulgaria,4.4
Burkina Faso,0.0
Burundi,-0.6
Cabo Verde,21.5
Cambodia,15.3
Cameroon,-0.8
Canada,-0.7
Cayman Islands,15.2
Central African Republic,..
Chad,..
Chile,0.3
China,-1.7
Colombia,0.3
Comoros,2.7
Congo,-5.3
"Congo, Democratic Republic Of The",-0.1
Cook Islands,..
Costa Rica,4.7
Côte D'Ivoire,-0.1
Croatia,17.0
Cuba,..
Curaçao,3.7
Cyprus,7.6
Czech Republic,0.9
Denmark,-0.4
Djibouti,1.8
Dominica,16.0
Dominican Republic,8.1
Ecuador,0.7
Egypt,3.9
El Salvador,3.4
Equatorial Guinea,..
Eritrea,..
Estonia,2.2
Eswatini,-0.6
Ethiopia,3.6
Fiji,22.1
Finland,-0.6
France,0.5
French Guiana,..
French Polynesia,..
Gabon,..
Gambia,9.7
Georgia,15.8
Germany,-1.1
Ghana,-0.5
Greece,8.1
Grenada,42.0
Guadeloupe,..
Guam,..
Guatemala,0.6
Guinea,-3.7
Guinea-Bissau,-3.7
Guyana,-1.4
Haiti,0.3
Honduras,0.9
"Hong Kong, China",4.2
Hungary,4.1
Iceland,5.0
India,0.1
Indonesia,0.4
"Iran, Islamic Republic Of",-1.7
Iraq,-2.6
Ireland,1.9
Israel,-0.4
Italy,0.7
Jamaica,16.5
Japan,0.3
Jordan,11.2
Kazakhstan,-0.1
Kenya,1.7
Kiribati,-4.9
"Korea, Democratic People'S Republic Of",..
"Korea, Republic Of",-0.8
Kuwait,-9.5
Kyrgyzstan,0.4
Lao People'S Democratic Republic,-1.1
Latvia,0.8
Lebanon,4.0
Lesotho,-11.2
Liberia,-34.1
Libya,..
Liechtenstein,..
Lithuania,0.5
Luxembourg,3.2
"Macao, China",71.4
Madagascar,4.7
Malawi,-1.3
Malaysia,2.4
Maldives,49.7
Mali,..
Malta,9.1
Marshall Islands,-5.3
Martinique,..
Mauritania,-0.6
Mauritius,10.1
Mexico,0.7
"Micronesia, Federated States Of",..
"Moldova, Republic Of",0.5
Monaco,..
Mongolia,-2.3
Montenegro,20.9
Montserrat,7.3
Morocco,5.5
Mozambique,1.4
Myanmar,2.1
Namibia,2.9
Nauru,-5.0
Nepal,-0.6
Netherlands,0.0
New Caledonia,..
New Zealand,3.3
Nicaragua,1.4
Niger,..
Nigeria,-2.6
Niue,..
Northern Mariana Islands,..
Norway,-2.7
Oman,-0.2
Pakistan,-0.7
Palau,..
Panama,6.6
Papua New Guinea,..
Paraguay,-0.3
Peru,0.7
Philippines,-0.9
Poland,0.9
Portugal,7.3
Puerto Rico,..
Qatar,1.8
Reunion,..
Romania,-0.7
Russian Federation,-1.2
Rwanda,1.6
Saba,..
Saint Kitts And Nevis,29.6
Saint Lucia,48.1
Saint Vincent And The Grenadines,23.7
Samoa,21.9
San Marino,..
Sao Tome And Principe,12.8
Saudi Arabia,-0.1
Senegal,..
Serbia,0.2
Seychelles,32.0
Sierra Leone,-0.5
Singapore,-1.4
Sint Eustatius,..
Sint Maarten (Dutch Part),..
Slovakia,0.4
Slovenia,3.1
Solomon Islands,2.7
Somalia,..
South Africa,1.0
South Sudan,..
Spain,3.8
Sri Lanka,3.5
State Of Palestine,-12.5
Sudan,2.5
Suriname,-0.9
Sweden,-0.5
Switzerland,0.0
Syrian Arab Republic,..
Taiwan Province Of China,-1.0
Tajikistan,2.0
"Tanzania, United Republic Of",2.9
Thailand,10.0
The Former Yugoslav Republic Of Macedonia,..
Timor-Leste,-2.1
Togo,..
Tonga,1.6
Trinidad And Tobago,1.7
Tunisia,3.4
Turkey,4.2
Turkmenistan,..
Turks And Caicos Islands,76.6
Tuvalu,..
Uganda,2.7
Ukraine,-4.6
United Arab Emirates,0.9
United Kingdom,-0.7
United States Of America,0.3
United States Virgin Islands,..
Uruguay,1.9
Uzbekistan,-2.8
Vanuatu,34.7
"Venezuela, Bolivarian Republic Of",..
Viet Nam,1.7
Yemen,..
Zambia,1.0
Zimbabwe,..