country,domestic
Afghanistan,..
Albania,..
Algeria,..
American Samoa,..
Andorra,..
Angola,..
Anguilla,..
Antigua And Barbuda,..
Argentina,"45,498"
Armenia,"1,092"
Aruba,..
Australia,"105,600"
Austria,"12,508"
Azerbaijan,"20,979"
Bahamas,..
Bahrain,117
Bangladesh,..
Barbados,..
Belarus,"2,629"
Belgium,"8,441"
Belize,..
Benin,..
Bermuda,..
Bhutan,..
Bolivia,..
Bonaire,..
Bosnia And Herzegovina,..
Botswana,..
Brazil,..
British Virgin Islands,..
Brunei Darussalam,..
Bulgaria,"4,151"
Burkina Faso,..
Burundi,..
Cabo Verde,..
Cambodia,..
Cameroon,..
Canada,"95,445"
Cayman Islands,..
Central African Republic,..
Chad,..
Chile,..
China,..
Colombia,..
Comoros,..
Congo,..
Congo,..
Cook Islands,..
Costa Rica,..
Côte D'Ivoire,..
Croatia,"3,197"
Cuba,..
Curaçao,..
Cyprus,"1,566"
Czech Republic,"27,179"
Denmark,"11,922"
Djibouti,..
Dominica,..
Dominican Republic,..
Ecuador,"8,544"
Egypt,..
El Salvador,..
Equatorial Guinea,..
Eritrea,..
Estonia,"4,399"
Eswatini,118
Ethiopia,..
Fiji,..
Finland,"29,120"
France,"189,755"
French Guiana,..
French Polynesia,..
Gabon,..
Gambia,..
Georgia,"5,777"
Germany,"159,338"
Ghana,..
Greece,"5,691"
Grenada,..
Guadeloupe,..
Guam,..
Guatemala,..
Guinea,..
Guinea-Bissau,..
Guyana,..
Haiti,..
Honduras,..
"Hong Kong, China",..
Hungary,"14,386"
Iceland,..
India,"1,854,933"
Indonesia,..
Iran,..
Iraq,..
Ireland,"10,919"
Israel,..
Italy,"62,861"
Jamaica,..
Japan,"291,052"
Jordan,..
Kazakhstan,"8,745"
Kenya,..
Kiribati,..
"Korea, Democratic People'S Republic Of",..
South Korea,"163,204"
Kuwait,..
Kyrgyzstan,..
Laos,..
Latvia,"2,584"
Lebanon,..
Lesotho,..
Liberia,..
Libya,..
Liechtenstein,..
Lithuania,"2,641"
Luxembourg,121
"Macao, China",..
Madagascar,..
Malawi,..
Malaysia,"101,547"
Maldives,..
Mali,25
Malta,245
Marshall Islands,..
Martinique,..
Mauritania,..
Mauritius,..
Mexico,..
Micronesia,..
Moldova,28
Monaco,..
Mongolia,..
Montenegro,..
Montserrat,..
Morocco,..
Mozambique,..
Myanmar,..
Namibia,..
Nauru,..
Nepal,..
Netherlands,"23,679"
New Caledonia,..
New Zealand,..
Nicaragua,..
Niger,..
Nigeria,..
Niue,..
Northern Mariana Islands,..
Norway,"18,950"
Oman,..
Pakistan,..
Palau,..
Panama,..
Papua New Guinea,..
Paraguay,..
Peru,..
Philippines,..
Poland,"47,700"
Portugal,"19,593"
Puerto Rico,..
Qatar,..
Reunion,..
Romania,"16,461"
Russia,..
Rwanda,..
Saba,..
Saint Kitts And Nevis,..
Saint Lucia,..
Saint Vincent And The Grenadines,..
Samoa,..
San Marino,..
Sao Tome And Principe,..
Saudi Arabia,"43,255"
Senegal,..
Serbia,..
Seychelles,..
Sierra Leone,..
Singapore,..
Sint Eustatius,..
Sint Maarten (Dutch Part),..
Slovakia,..
Slovenia,"2,003"
Solomon Islands,..
Somalia,..
South Africa,"17,600"
South Sudan,..
Spain,"169,776"
Sri Lanka,..
Palestine,..
Sudan,..
Suriname,..
Sweden,..
Switzerland,"6,661"
Syria,..
Taiwan Province Of China,..
Tajikistan,172
Tanzania,..
Thailand,"130,868"
The Former Yugoslav Republic Of Macedonia,..
Timor-Leste,..
Togo,..
Tonga,..
Trinidad And Tobago,..
Tunisia,..
Turkey,"78,523"
Turkmenistan,..
Turks And Caicos Islands,..
Tuvalu,..
Uganda,..
Ukraine,..
United Arab Emirates,"4,310"
United Kingdom,"118,556"
United States Of America,..
United States Virgin Islands,..
Uruguay,"5,169"
Uzbekistan,..
Vanuatu,..
Venezuela,..
Vietnam,"41,400"
Yemen,..
Zambia,..
Zimbabwe,740